"","origin","destination","distance","population_origin","gdp_origin","population_destination","gdp_destination","trade","x_jj","trade_sum_destination"
"13065","PRT","KGZ",6758.65616480789,10.2258033752441,112649.8984375,4.91529989242554,1369.69189453125,1.20120002128787,676.020172128881,693.671722402369
"13066","PYF","KGZ",15063.4922665955,0.236123993992805,3447.54321289062,4.91529989242554,1369.69189453125,0.70000001240552,676.020172128881,693.671722402369
"13067","ROM","KGZ",3873.12754248619,22.443000793457,37052.63671875,4.91529989242554,1369.69189453125,0.500000008861086,676.020172128881,693.671722402369
"13068","RUS","KGZ",2650.45995365534,146.302993774414,259708.5,4.91529989242554,1369.69189453125,132.500002348188,676.020172128881,693.671722402369
"13069","SAU","KGZ",3510.2501400897,20.6607036590576,188441.875,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13070","SDN","KGZ",5048.52538318748,32.902416229248,12366.140625,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13071","SGP","KGZ",5430.70621918945,4.0177001953125,92716.859375,4.91529989242554,1369.69189453125,0.400000007088868,676.020172128881,693.671722402369
"13072","SVK","KGZ",4280.53019511032,5.38874101638794,20374.76171875,4.91529989242554,1369.69189453125,0.400000007088868,676.020172128881,693.671722402369
"13073","SVN","KGZ",4654.28045733643,1.9889999628067,19311.58984375,4.91529989242554,1369.69189453125,0.100000001772217,676.020172128881,693.671722402369
"13074","SWE","KGZ",4363.35260806065,8.86900043487549,242004.09375,4.91529989242554,1369.69189453125,2.70000004784986,676.020172128881,693.671722402369
"13075","SYC","KGZ",5550.87785310822,0.0811309963464737,614.879760742188,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13076","SYR","KGZ",3298.84372462645,16.8128242492676,19325.89453125,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13077","THA","KGZ",4062.25677037849,61.4383125305176,122725.2421875,4.91529989242554,1369.69189453125,0.500000008861086,676.020172128881,693.671722402369
"13078","TJK","KGZ",580.760874116254,6.17283487319946,980.013488769531,4.91529989242554,1369.69189453125,2.97000005263485,676.020172128881,693.671722402369
"13079","TKM","KGZ",1334.70060486789,4.50214004516602,2904.66259765625,4.91529989242554,1369.69189453125,25.5200004522698,676.020172128881,693.671722402369
"13080","TON","KGZ",13235.8101141708,0.100189998745918,147.332382202148,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13081","TUN","KGZ",5442.58415637474,9.56350040435791,19443.27734375,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13082","TUR","KGZ",3545.36930610752,67.4199981689453,199267.3125,4.91529989242554,1369.69189453125,26.700000473182,676.020172128881,693.671722402369
"13083","TWN","KGZ",4720.26277027016,22.1299991607666,321230,4.91529989242554,1369.69189453125,0.0563360009983962,676.020172128881,693.671722402369
"13084","UGA","KGZ",6225.20934277763,24.308744430542,5926.3740234375,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13085","UKR","KGZ",3253.52074918213,49.1758460998535,31261.52734375,4.91529989242554,1369.69189453125,7.0000001240552,676.020172128881,693.671722402369
"13086","USA","KGZ",10948.732851091,282.223999023438,9764800,4.91529989242554,1369.69189453125,53.8000009534528,676.020172128881,693.671722402369
"13087","UZB","KGZ",542.082137914169,24.6499996185303,13760.375,4.91529989242554,1369.69189453125,75.2000013327073,676.020172128881,693.671722402369
"13088","VEN","KGZ",13043.6963414993,24.3110008239746,117147.6171875,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13089","VNM","KGZ",4423.88701039658,77.6353988647461,31172.517578125,4.91529989242554,1369.69189453125,0.0495000008772475,676.020172128881,693.671722402369
"13090","YEM","KGZ",4202.60825579233,17.9365921020508,9441.4736328125,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13091","YUG","KGZ",4287.90314943008,8.13723659515381,8602.798828125,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13092","ZAF","KGZ",9312.84348798599,44,132877.640625,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13093","ZMB","KGZ",7834.91271754532,10.7021141052246,3237.71997070312,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
"13094","ZWE","KGZ",8129.86998650837,12.5950841903687,7399.22412109375,4.91529989242554,1369.69189453125,0,676.020172128881,693.671722402369
